review_text,rating,date,bank_name,source,sentiment
"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",5,2025-05-25,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",2,2025-05-25,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
mortuary app,5,2025-05-25,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
it is smart app but it has stoped after some period of time on my device with out any reason .,5,2025-05-25,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
amazing app I am used this app for one year,4,2025-05-24,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
👍,5,2025-05-24,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
good app,5,2025-05-24,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
i love it 😍😘,5,2025-05-24,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
It makes life easy!👌,5,2025-05-24,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
its not fast,1,2025-05-24,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
wow,4,2025-05-24,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
it is sooo good,5,2025-05-24,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
excellent,5,2025-05-24,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
ok,1,2025-05-24,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
Fantastic,5,2025-05-23,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
accessible to using,5,2025-05-23,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
I like it,4,2025-05-23,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
why you change default network?,5,2025-05-23,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
very nice 👍,5,2025-05-23,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
nice fast app,5,2025-05-23,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
how to I get my money,5,2025-05-23,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
"Very bad, can't even load they need to improve their services.",1,2025-05-22,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
"Very good app, but please make it reliable . it crashes sometimes .",4,2025-05-22,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
very busy I don't know why... I prefer 889,3,2025-05-22,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
"Sometimes it has a nasty lag for several hour fix that , the rest is 👌",4,2025-05-22,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,1,2025-05-22,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
hojii bonsaadha,5,2025-05-22,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
user-friendly apps.because this app is easy.,5,2025-05-22,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
Awosome!!!,5,2025-05-22,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
"Very good app,",5,2025-05-22,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-05-22,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
ይህ መተግበሪያ በጣም ጥሩ ነው. this app is very nice,5,2025-05-22,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
I hate this app 😒,1,2025-05-22,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
trustful,5,2025-05-22,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
I like,5,2025-05-22,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
update issue,4,2025-05-22,Commercial Bank of Ethiopia Mobile,Google Play,NEUTRAL
its not working over safari network,1,2025-05-22,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
oldie,1,2025-05-22,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
it doesn't work,1,2025-05-21,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
"This app is good, and we are using it well",1,2025-05-21,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
very nice 👌 app for android phone,5,2025-05-21,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
Yes Yes,5,2025-05-21,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
በጣም ከርፋፋ,1,2025-05-21,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
easy to use helpful in my life,5,2025-05-21,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
good 👍,4,2025-05-21,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
the best mobile banking app,5,2025-05-21,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
"this app is very useful app,it saves time,and it is secure",4,2025-05-21,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
it's a good application 👍,5,2025-05-21,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !,2,2025-05-21,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
poor service,1,2025-05-21,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
amazing,5,2025-05-20,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
it is reliable and easy to use.,5,2025-05-20,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
the most annoying mobile banking app I've ever seen,1,2025-05-20,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
Eliasmels,5,2025-05-20,Commercial Bank of Ethiopia Mobile,Google Play,NEUTRAL
Cbe mobile banking,5,2025-05-20,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
"i can't make Screenshout in this app, please made modification",5,2025-05-20,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
Best app I loved it,5,2025-05-19,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
nice app,5,2025-05-19,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
Amazing applicatiom sometimes doesnt work!,5,2025-05-18,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
well satisfied with this beautiful app,5,2025-05-18,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
very good,4,2025-05-17,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
best app.,5,2025-05-17,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
"not working,why???",5,2025-05-17,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
Great impact but why Developer option turnoff if you fix 🙏 🙏 🙏,5,2025-05-17,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,1,2025-05-17,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
woxe harimo ribiso,5,2025-05-17,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
"Good ,easy to use",5,2025-05-16,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
Good app,5,2025-05-15,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
Good job👍,5,2025-05-14,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
"Please kindly ask to update the app and allow us to screenshot, it's convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen.",2,2025-05-14,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter,4,2025-05-13,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
customer service is bad nothing is good about this bank,1,2025-05-13,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
It is Amazing Mobile Banking App....But why the screenshot of the receipt doesnt work,5,2025-05-13,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
fast and simple easy to use 👌,5,2025-05-12,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
The fastest transferring app I ever had its so reliable,5,2025-05-11,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
"Funds transferred from the same bank do not reflect in the account, even though a confirmation text message was received.",3,2025-05-11,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
it's easy and fast,5,2025-05-10,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
This app don't have self activation only you have to look near cbe branch that's disgusting,1,2025-05-10,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
hello dearest CBE office personnel make some benefits for those using interest free accounts thanks for your help,5,2025-05-09,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
wow best application ever,5,2025-05-09,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
"Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,",1,2025-05-08,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
the pride of Ethiopian bank 🏦,5,2025-05-08,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
why the app telling me to turn of developer options please fix it.,1,2025-05-07,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
i am very happy . i have small prob. after i transfer i cant put the transfer cashe bil to my dic.,5,2025-05-07,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
amazing apps,5,2025-05-06,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
All service of Mobile Banking,5,2025-05-06,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
needs improvement,1,2025-05-06,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
i miss the old one i couldn't send my mony to other bank..,1,2025-05-06,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
the app is recently crushing each time you open and try to make transfers...it used to be good. take lessons from the Dashen Super app or ethiotelecom. it is not befitting of your experience and glory. inv3st in making it more friendly and convenient. I am considering leaving CBE for good.,2,2025-05-06,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
good but these week not oky,4,2025-05-06,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
well designed! Fixing bugs & two step verification with biometric... simply it's great!,5,2025-05-06,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
If any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times.,1,2025-05-05,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
"it's a great job.but one more thing, it hasn't been placed for transfer to other banks on face like mobile charge card place",5,2025-05-05,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
CBE mobilr bankg,5,2025-05-05,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
verygood,3,2025-05-05,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
ممتاز جدا,5,2025-05-04,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
it's very low quality application,1,2025-05-04,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
Very Amazing Apps,5,2025-05-04,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
አዛ,1,2025-05-04,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
wow simple life,5,2025-05-04,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
it's nice,5,2025-05-03,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
Why stacked sometimes,5,2025-05-03,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
okay 👍 but sometimes busy,1,2025-05-03,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
the worst commercial company that fails to do even the most normal things again and and again.,1,2025-05-03,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
Very good app. but disappointed by general cessation of system.,5,2025-05-02,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
Good and fast,5,2025-05-02,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
Unreliable!,1,2025-05-02,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
Best the best fast,5,2025-05-02,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
happy,5,2025-05-02,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
fast and reliable,5,2025-05-02,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
network errorrrrrr,2,2025-05-02,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
Best app but there is some problem I can't send money to telebirr or mpesa so if you can add that it could be use full,4,2025-05-02,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
its good and simple to use,5,2025-05-02,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
worest app like that bank for security and network access,1,2025-05-02,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
it's the best app i,5,2025-05-02,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
not bad not good,1,2025-05-02,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
its very nice,5,2025-05-02,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
do not work this week,3,2025-04-30,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
It crashes frequently,4,2025-04-30,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
the best,5,2025-04-28,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
"I can simply describe this app as ""Making all your work easier"".",5,2025-04-28,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
goid,5,2025-04-28,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
best appearance,5,2025-04-27,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
it's very good 👍 app,5,2025-04-27,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
abinet kutafo,1,2025-04-27,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
I need support you,5,2025-04-27,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
the worst Mobile banking i have ever seen in my life,1,2025-04-26,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
Nuree mahamud,5,2025-04-26,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
super,5,2025-04-26,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
ጠጀጨገጀ።ጀገ,5,2025-04-26,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
i like the app,5,2025-04-26,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
the Best,1,2025-04-26,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
to other bank is bad,1,2025-04-25,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
tank's,5,2025-04-25,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
its good but add more features such like. bank statement showing,5,2025-04-24,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
it is so nice,5,2025-04-24,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
Very Good👍,5,2025-04-21,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
"my first frequent experience of cbe app is critical-time failure such as suspending payment on air for 2-5 days with zero explanation, deducting from sender account without depositing to the receiver act. Another fatal error by the banking company as a whole (not the app itself though) is forced-banking with corporations without consent of employers-users of the corresponding corporations",2,2025-04-21,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
"wow, amazing app",5,2025-04-21,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
use ful,5,2025-04-21,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
Great app,5,2025-04-21,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
well app,5,2025-04-20,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
Actually it is inactive,4,2025-04-19,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
"slow, only one account is used",2,2025-04-19,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
always CBE is the leading Commercial Bank💪💪💪,5,2025-04-18,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
i like it,5,2025-04-18,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
why removing screenshot feature why?,1,2025-04-18,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
nice apps where network is good in connection,5,2025-04-18,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
Thank you!!!,5,2025-04-18,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
i can't take screenshot,1,2025-04-18,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
"every update was made the system better and better until the March 19th, 2025 update, not allowing us to screenshot. you guys didn't understand how much it's a really quick and significant thing. You add extra steps to us, which makes the process draw back",3,2025-04-18,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
perfectly special,5,2025-04-18,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
Fast and Reliable,5,2025-04-18,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
The best application I have ever seen in Ethiopia banking industry.,5,2025-04-17,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
great app!!!,5,2025-04-17,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
because sometimes it doesn't working it load too much,3,2025-04-17,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
"Absolutely the best app! It works flawlessly, anytime and anywhere.",5,2025-04-17,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
very nice app ever!!!,5,2025-04-16,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
the best app,5,2025-04-16,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
Biometric security for mobile banking is not available,5,2025-04-16,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
great,5,2025-04-15,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
Nice service,5,2025-04-15,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
great app,5,2025-04-15,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
it's special apps,5,2025-04-15,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
"In the updated version of the app, it takes more time to download the receipt.",3,2025-04-15,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
ለምንድነው ትራንዛክሽን ትንሽ ብቻ የሚያሳየው ?,3,2025-04-14,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
Good 🔥,5,2025-04-14,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
very interesting app i am using every day fantastic,5,2025-04-14,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
lebaa bank,5,2025-04-14,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
Can't scan/recognize other banks' Interoperable QR Codes,1,2025-04-13,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
OK,5,2025-04-13,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
grateful app,5,2025-04-13,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
100% ❤️❤️❤️🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,5,2025-04-13,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
everthing wellbeok,3,2025-04-13,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
"""This mobile banking app is fast and user-friendly, but the only issue I encountered is that I can't access my bank statement within the app. I kindly request that this feature be added, similar to what is offered by other private bank mobile banking apps.",4,2025-04-13,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
nice app 👌,5,2025-04-12,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
why did this app is not screenshot,5,2025-04-12,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
it so good app,5,2025-04-12,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
جميل,5,2025-04-11,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
"less network, specially to make fee for utility purpose",1,2025-04-11,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
simply for used,4,2025-04-11,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
wow keep up,5,2025-04-10,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
its great app but when updating we can't take screen shot please try to fix it,3,2025-04-10,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
good one,5,2025-04-10,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
everything is easy thank you cebe,5,2025-04-10,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
ፈጣን ቀልጣፋ,5,2025-04-10,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
ጎበዝ,5,2025-04-09,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
but this app says can't sync,5,2025-04-09,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
waw,5,2025-04-09,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
to slow,3,2025-04-09,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
work on screen shot system,4,2025-04-08,Commercial Bank of Ethiopia Mobile,Google Play,NEUTRAL
very very nice aplication,1,2025-04-08,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
wonder full and it is easy to use,5,2025-04-08,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
easy and reliable,2,2025-04-08,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
it is Very Useful app 👍,5,2025-04-07,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
perfect app,5,2025-04-07,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
I like it.,5,2025-04-07,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
bugs,3,2025-04-07,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
commerial Bank,5,2025-04-06,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
Genat biru,2,2025-04-06,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
🙏,5,2025-04-06,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
it is good but it doesn't allow screen shot,4,2025-04-06,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
the best one,5,2025-04-06,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
